Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
68,tt0078767,2011-03-16,2012-02-10,10/10,The Amityville Horror,https://www.imdb.com/title/tt0078767/,movie,6.2,117,1979,Horror,32236,1979-07-27,Stuart Rosenberg
69,tt0068473,2011-03-16,2012-02-10,10/10,Deliverance,https://www.imdb.com/title/tt0068473/,movie,7.7,109,1972,"Adventure, Drama, Thriller",90800,1972-07-30,John Boorman
70,tt0083536,2011-03-16,2012-02-10,9/10,Great Performances: Alice in Wonderland,https://www.imdb.com/title/tt0083536/,tvEpisode,6.9,90,1983,Music,115,1983-10-03,Kirk Browning
71,tt0283426,2011-03-16,2012-02-10,9/10,The Jungle Book 2,https://www.imdb.com/title/tt0283426/,movie,5.4,72,2003,"Animation, Adventure, Family, Musical",13644,2003-02-05,Steve Trenbirth
72,tt0179148,2011-03-16,2012-02-10,9/10,The Devil's Arithmetic,https://www.imdb.com/title/tt0179148/,tvMovie,6.5,95,1999,"Drama, Fantasy, War",3460,1999-03-28,Donna Deitch
73,tt0110148,2011-03-16,2012-02-10,9/10,Interview with the Vampire: The Vampire Chronicles,https://www.imdb.com/title/tt0110148/,movie,7.6,123,1994,"Drama, Horror",273202,1994-11-09,Neil Jordan
74,tt0339291,2011-03-16,2012-02-10,9/10,A Series of Unfortunate Events,https://www.imdb.com/title/tt0339291/,movie,6.8,108,2004,"Adventure, Comedy, Family, Fantasy",184370,2004-12-16,Brad Silberling
75,tt0308379,2011-03-16,2012-02-10,9/10,Honogurai mizu no soko kara,https://www.imdb.com/title/tt0308379/,movie,6.7,101,2002,"Drama, Horror, Mystery, Thriller",27710,2002-01-19,Hideo Nakata
76,tt0406375,2011-03-16,2012-02-10,9/10,Zathura: A Space Adventure,https://www.imdb.com/title/tt0406375/,movie,6.2,101,2005,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",83586,2005-11-06,Jon Favreau
77,tt0469494,2011-03-16,2012-02-10,9/10,There Will Be Blood,https://www.imdb.com/title/tt0469494/,movie,8.2,158,2007,Drama,461141,2007-09-27,Paul Thomas Anderson
78,tt0373889,2011-03-16,2012-02-10,9/10,Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/,movie,7.5,138,2007,"Adventure, Family, Fantasy, Mystery",451215,2007-06-28,David Yates
79,tt0348150,2011-03-16,2012-02-10,9/10,Superman Returns,https://www.imdb.com/title/tt0348150/,movie,6.1,154,2006,"Action, Adventure, Sci-Fi",259968,2006-06-21,Bryan Singer
80,tt0413267,2011-03-16,2012-02-10,9/10,Shrek the Third,https://www.imdb.com/title/tt0413267/,movie,6.1,93,2007,"Animation, Adventure, Comedy, Family, Fantasy",254045,2007-05-06,"Chris Miller, Raman Hui"
81,tt0047209,2011-03-16,2012-02-10,9/10,Man in the Attic,https://www.imdb.com/title/tt0047209/,movie,6.2,82,1953,"Mystery, Thriller",1158,1953-12-31,Hugo Fregonese
82,tt0978797,2012-02-10,2012-02-10,9/10,Chakushin ari final,https://www.imdb.com/title/tt0978797/,movie,5.1,109,2006,Horror,1576,2006-06-22,Manabu Asô
